id,title,link,source,source_link,crawled,published_date
877,Ex-Obama health advisor: US needs to 'stop panicking and being hysterical' about coronavirus,https://www.cnbc.com/2020/01/30/ezekiel-emanuel-on-coronavirus-americans-need-to-stop-panicking.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-30 18:18:12
878,"China's deadly coronavirus could be good for US jobs, manufacturing, says Trump Commerce Secretary Wilbur Ross",https://www.cnbc.com/2020/01/30/wilbur-ross-coronavirus-could-bring-jobs-manufacturing-back-to-us.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-31 00:19:47
879,"Coronavirus outbreak declared global health emergency, US confirms first human transmission",https://www.cnbc.com/2020/01/30/coronavirus-latest-updates.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-31 00:33:01
880,Russia closes border with China to prevent spread of the coronavirus,https://www.cnbc.com/2020/01/30/coronavirus-russia-closes-border-with-china-to-prevent-spread.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-30 13:48:58
881,Europe's biggest oil company warns of 'tough and uncertain' market as coronavirus fears intensify,https://www.cnbc.com/2020/01/30/oil-shell-ceo-warns-of-tough-energy-market-amid-coronavirus-outbreak.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-30 11:42:35
882,India confirms its first coronavirus case,https://www.cnbc.com/2020/01/30/india-confirms-first-case-of-the-coronavirus.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-30 12:51:17
883,"Coronavirus live updates: China says death toll hits 170, while India reports first case",https://www.cnbc.com/2020/01/30/coronavirus-live-updates-china-says-death-toll-rises.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-30 17:45:13
884,Amazon restricts employee travel to China 'until further notice' as coronavirus spreads,https://www.cnbc.com/2020/01/29/amazon-restricts-employee-travel-to-china-as-coronavirus-spreads.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-29 22:52:19
885,"Flight carrying US citizens from Wuhan arrives in California, CDC says",https://www.cnbc.com/2020/01/29/flight-carrying-us-citizens-from-wuhan-arrives-in-california-cdc-says.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-29 22:47:27
886,Boeing concerned about coronavirus impact on air travel,https://www.cnbc.com/2020/01/29/coronavirus-impact-on-air-travel-a-concern-boeing-cfo-says.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-29 19:24:20
887,CEO of chemical giant Dow: Coronavirus concerns are increasing demand for cleaning products,https://www.cnbc.com/2020/01/29/dow-ceo-says-coronavirus-increasing-demand-for-cleaning-products.html,cnbc.com,https://www.cnbc.com,2020-01-31 13:48:13,2020-01-29 16:51:36
888,UK confirms first coronavirus cases as outbreak spreads globally,http://rss.cnn.com/~r/rss/cnn_latest/~3/Z9LlnIUpzok/index.html,cnn.com,https://edition.cnn.com/,2020-01-31 13:48:14,2020-01-31 13:38:15
889,This is where Wuhan coronavirus cases have been confirmed worldwide,http://rss.cnn.com/~r/rss/cnn_latest/~3/m_uqAi4sAxQ/index.html,cnn.com,https://edition.cnn.com/,2020-01-31 13:48:14,2020-01-31 13:09:19
890,Hong Kong art fair faces calls to cancel amid coronavirus fears,http://rss.cnn.com/~r/rss/cnn_latest/~3/k3cWFCV2MBk/index.html,cnn.com,https://edition.cnn.com/,2020-01-31 13:48:14,2020-01-31 12:55:53
891,"As coronavirus spreads, fear is fueling racism and xenophobia",https://www.cnn.com/2020/01/31/asia/wuhan-coronavirus-racism-fear-intl-hnk/index.html,cnn.com,https://edition.cnn.com/,2020-01-31 13:48:14,2020-01-31 06:59:16
892,Wuhan streets described as 'eerie.'  See what they look like now,https://www.cnn.com/videos/world/2020/01/30/wuhan-empty-streets-lockdown-american-student-residents-culver-pkg-vpx.cnn,cnn.com,https://edition.cnn.com/,2020-01-31 13:48:14,2020-01-30 22:02:25
893,China marks deadliest day of outbreak,https://www.cnn.com/2020/01/30/asia/wuhan-coronavirus-update-intl-hnk/index.html,cnn.com,https://edition.cnn.com/,2020-01-31 13:48:14,2020-01-31 10:08:11
894,Asian markets recover a little after coronavirus fears sunk stocks,http://rss.cnn.com/~r/rss/edition_world/~3/hJ6d4fuU2Po/index.html,cnn.com,https://edition.cnn.com/,2020-01-31 13:48:14,2020-01-31 09:28:36
895,Apple stands to lose a lot from the coronavirus outbreak,http://rss.cnn.com/~r/rss/edition_world/~3/1fYL0LQMUbk/index.html,cnn.com,https://edition.cnn.com/,2020-01-31 13:48:14,2020-01-30 19:41:59
896,The coronavirus could cost China's economy $60 billion this quarter. Beijing will have to act fast to avert a bigger hit,http://rss.cnn.com/~r/rss/cnn_latest/~3/xVl77E6ticI/index.html,cnn.com,https://edition.cnn.com/,2020-01-31 13:48:14,2020-01-31 12:30:02
897,Coronavirus could cost China's economy $60 billion this quarter,https://www.cnn.com/2020/01/31/economy/china-economy-coronavirus/index.html,cnn.com,https://edition.cnn.com/,2020-01-31 13:48:14,2020-01-31 12:30:02
898,"No pillows, no hot meals: Airlines adopt preventative measures",https://www.cnn.com/travel/article/wuhan-coronavirus-airlines-measures/index.html,cnn.com,https://edition.cnn.com/,2020-01-31 13:48:14,2020-01-31 08:38:03
899,See hospitals being built for coronavirus patients in Wuhan,https://www.cnn.com/videos/world/2020/01/31/hospitals-being-built-urgently-for-coronavirus-patients-in-wuhan-china-lc-lon-orig.cnn,cnn.com,https://edition.cnn.com/,2020-01-31 13:48:14,2020-01-31 13:25:37
900,"Meanwhile, another deadly virus has infected 15 million in the US",https://www.cnn.com/2020/01/30/health/flu-deadly-virus-15-million-infected-trnd/index.html,cnn.com,https://edition.cnn.com/,2020-01-31 13:48:14,2020-01-30 19:29:17
901,A grapefruit a day keeps the coronavirus away! Desperate Chinese resort to using FRUIT as face masks,https://www.dailymail.co.uk/news/article-7947709/A-grapefruit-day-keeps-coronavirus-away-Desperate-Chinese-resort-using-FRUIT-face-masks.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,dailymail.co.uk,https://www.dailymail.co.uk,2020-01-31 13:48:15,2020-01-30 23:07:31
902,Chicago man is first US person-to-person China coronavirus case,https://www.dailymail.co.uk/news/article-7948679/First-person-person-case-coronavirus-confirmed-US.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,dailymail.co.uk,https://www.dailymail.co.uk,2020-01-31 13:48:15,2020-01-30 23:03:45
903,Coronavirus: 7000 held on Italian cruise ship as passengers tested,https://www.dailymail.co.uk/news/article-7947003/6-000-trapped-cruise-ship-Italy-two-people-board-tested-coronavirus.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,dailymail.co.uk,https://www.dailymail.co.uk,2020-01-31 13:48:15,2020-01-30 20:55:32
904,Satellite images show the deserted roads and waterways of Wuhan,https://www.dailymail.co.uk/news/article-7948851/Satellite-images-deserted-roads-waterways-Wuhan.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,dailymail.co.uk,https://www.dailymail.co.uk,2020-01-31 13:48:15,2020-01-30 20:12:44
905,Chinese hospitals start to use AI-powered robots to treat coronavirus patients,https://www.dailymail.co.uk/news/article-7948181/Chinese-hospitals-start-use-AI-powered-robots-treat-coronavirus-patients.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,dailymail.co.uk,https://www.dailymail.co.uk,2020-01-31 13:48:15,2020-01-30 18:33:50
906,French Asians hit back at racism with 'I am not a virus' hashtag,https://www.dailymail.co.uk/news/article-7947865/French-Asians-hit-racism-not-virus-hashtag.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,dailymail.co.uk,https://www.dailymail.co.uk,2020-01-31 13:48:15,2020-01-30 18:20:24
907,Scientists develop a vaccine for the Chinese coronavirus,https://www.dailymail.co.uk/health/article-7947315/Scientists-develop-vaccine-Chinese-coronavirus.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,dailymail.co.uk,https://www.dailymail.co.uk,2020-01-31 13:48:15,2020-01-30 15:55:21
908,American describes what it's like in Wuhan as deadly coronavirus continues to spread,https://www.dailymail.co.uk/health/article-7948121/American-describes-like-Wuhan-deadly-coronavirus-continues-spread.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,dailymail.co.uk,https://www.dailymail.co.uk,2020-01-31 13:48:15,2020-01-30 18:18:17
909,Two college students in Ohio are tested for the deadly coronavirus that has killed 170 in China,https://www.dailymail.co.uk/health/article-7947779/Two-college-students-Ohio-tested-deadly-coronavirus-killed-170-China.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,dailymail.co.uk,https://www.dailymail.co.uk,2020-01-31 13:48:15,2020-01-30 17:10:00
910,Chinese coronavirus: face masks for dogs hit the market,https://www.dailymail.co.uk/news/article-7946487/Chinese-pet-owners-rush-buy-face-masks-dogs-amid-coronavirus-outbreak.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,dailymail.co.uk,https://www.dailymail.co.uk,2020-01-31 13:48:15,2020-01-30 14:52:52
911,Chinese coronavirus doctors beaten up by relative of victim,https://www.dailymail.co.uk/news/article-7947071/Coronavirus-doctors-beaten-patients-family-sufferer-died-disease.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,dailymail.co.uk,https://www.dailymail.co.uk,2020-01-31 13:48:15,2020-01-30 14:48:58
